Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BookAppointment,Chrome 117.0.0.0,,,2023-09-25 16:13:43,2023-09-25 16:13:56,"13,119s",PASSED
,,,,,,,
Test Cases/Login,Chrome 117.0.0.0,,,2023-09-25 16:13:43,2023-09-25 16:13:50,"7,103s",PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-25 16:13:43,2023-09-25 16:13:46,"2,743s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 117.0.0.0,,,2023-09-25 16:13:46,2023-09-25 16:13:47,"1,223s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 117.0.0.0,,,2023-09-25 16:13:47,2023-09-25 16:13:48,"0,758s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 117.0.0.0,,,2023-09-25 16:13:48,2023-09-25 16:13:49,"0,919s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 117.0.0.0,,,2023-09-25 16:13:49,2023-09-25 16:13:49,"0,494s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 117.0.0.0,,,2023-09-25 16:13:49,2023-09-25 16:13:50,"0,643s",PASSED
,,,,,,,
Test Cases/BookAnAppointment,Chrome 117.0.0.0,,,2023-09-25 16:13:50,2023-09-25 16:13:56,"5,782s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 117.0.0.0,,,2023-09-25 16:13:50,2023-09-25 16:13:51,"1,281s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 117.0.0.0,,,2023-09-25 16:13:51,2023-09-25 16:13:52,"0,397s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 117.0.0.0,,,2023-09-25 16:13:52,2023-09-25 16:13:52,"0,389s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 117.0.0.0,,,2023-09-25 16:13:52,2023-09-25 16:13:53,"0,433s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_19""))",Chrome 117.0.0.0,,,2023-09-25 16:13:53,2023-09-25 16:13:53,"0,553s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""This is an automated test."")",Chrome 117.0.0.0,,,2023-09-25 16:13:53,2023-09-25 16:13:54,"0,879s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 117.0.0.0,,,2023-09-25 16:13:54,2023-09-25 16:13:55,"0,629s",PASSED
"example.MyKeywords.Congrats(""Nabil"")",Chrome 117.0.0.0,,,2023-09-25 16:13:55,2023-09-25 16:13:55,"0,027s",PASSED
"takeScreenshotAsCheckpoint(""booking_confirmation"")",Chrome 117.0.0.0,,,2023-09-25 16:13:55,2023-09-25 16:13:56,"0,894s",PASSED
